标题,户型,面积,楼层,建造年份,单价,总价,关键字,地址,详情页地址
水高旁 对口二小一中 南北通透大三房 有暖气 采光好 有钥匙,3室2厅,115m²,低层(共8层),1996年建造,30957元/m²,356万,南北通透近地铁繁华地段,水果湖一中宿舍  武昌-水果湖-东湖路89号,https://wuhan.anjuke.com/prop/view/A1867236699?from=filter&spread=commsearch_p&uniqid=pc5da427fe8161e3.24586118&position=13&kwtype=filter&now_time=1571039230
十里玫瑰一期，55平，紧凑小两房，一次性，可以更名。,1室1厅,55m²,中层(共32层),2017年建造,11455元/m²,63万,,十里玫瑰(一期)  汉阳-十里铺-玫瑰街,https://wuhan.anjuke.com/prop/view/A1870409595?from=filter&spread=commsearch_p&uniqid=pc5da427fe816239.91333415&position=14&kwtype=filter&now_time=1571039230
十里玫瑰一期，55平精装，一室一厅，紧挨楚才中学可以更名全款,1室1厅,55m²,低层(共33层),2018年建造,11818元/m²,65万,,十里玫瑰(一期)  汉阳-十里铺-玫瑰街,https://wuhan.anjuke.com/prop/view/A1870409577?from=filter&spread=commsearch_p&uniqid=pc5da427fe816291.99914707&position=15&kwtype=filter&now_time=1571039230
"三眼桥地铁口单价才1.6万多,香江新村 142平228万",3室2厅,142m²,低层(共7层),1998年建造,16056元/m²,228万,近地铁,香江新村北区  江汉-唐家墩-香港路265号,https://wuhan.anjuke.com/prop/view/A1858153773?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe8162e8.27044258&position=16&kwtype=filter&now_time=1571039230
雄楚大道百瑞景旁丽岛2046朝南毛坯两房诚心出售 随时看房,2室2厅,80m²,高层(共17层),2015年建造,22924元/m²,185万,近地铁采光好房型正,丽岛2046  武昌-丁字桥-雄楚大道175号,https://wuhan.anjuke.com/prop/view/A1845204717?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816343.42198488&position=17&kwtype=filter&now_time=1571039230
常青CBD 楚天都市金园 精装两房 业主急售 楼层超好,2室2厅,83m²,高层(共26层),2011年建造,17447元/m²,145万,近地铁远离马路拎包入住,楚天都市金园  江汉-常青-复兴村57号,https://wuhan.anjuke.com/prop/view/A1868784105?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816396.36487762&position=18&kwtype=filter&now_time=1571039230
滨江地段 地铁口 无敌江景 俯视看江 三室两卫 品牌家私,3室2厅,126m²,高层(共47层),2016年建造,18254元/m²,230万,近地铁繁华地段品质小区,万科金色城市20地块  洪山-白沙洲-武金堤路,https://wuhan.anjuke.com/prop/view/A1865797725?from=filter&spread=commsearch_p&uniqid=pc5da427fe8163f3.94285569&position=19&kwtype=filter&now_time=1571039230
地铁口国博3小 中核毛坯大2房 业主卖的很急 性价比超高来秒,2室2厅,87m²,中层(共33层),2017年建造,14368元/m²,125万,近地铁次新小区品质小区,中核时代广场  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1867770345?from=filter&spread=commsearch_p&uniqid=pc5da427fe816448.51249051&position=20&kwtype=filter&now_time=1571039230
万科目前Z便宜的两房 一线江景 精装 地铁12号线100米,2室2厅,81m²,高层(共43层),2015年建造,9877元/m²,80万,视野好配套成熟品质小区,万科金色城市16地块  洪山-白沙洲-白沙五路,https://wuhan.anjuke.com/prop/view/A1808091885?from=filter&spread=commsearch_p&uniqid=pc5da427fe816494.10297315&position=21&kwtype=filter&now_time=1571039230
保利中央公馆 毛坯三房 中高楼层 满二无税 看房方便有钥匙,3室2厅,96m²,高层(共34层),2014年建造,19612元/m²,190万,南北通透环境优美,保利中央公馆(G1-G16栋)  洪山-新南湖-丁字桥南路558号,https://wuhan.anjuke.com/prop/view/A1867785501?from=filter&spread=commsearch_p&uniqid=pc5da427fe8164f0.75042074&position=22&kwtype=filter&now_time=1571039230
笋盘 东湖城二期 临东湖 南北通透 精装大三房 带衣帽间,3室2厅,139m²,中层(共32层),2016年建造,18969元/m²,265万,配套成熟安全性高品质小区,福星惠誉东湖城(二期)  洪山-欢乐谷-欢乐大道363号,https://wuhan.anjuke.com/prop/view/A1867870929?from=filter&spread=commsearch_p&uniqid=pc5da427fe816547.62199264&position=23&kwtype=filter&now_time=1571039230
武胜里旁 爵世家园 电梯3房 超大双阳台 高层朝南采光无敌,3室2厅,98m²,高层(共18层),2005年建造,25810元/m²,255万,近地铁,爵世嘉园  硚口-武胜路-武胜西街8号,https://wuhan.anjuke.com/prop/view/A1857617553?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816598.58796546&position=24&kwtype=filter&now_time=1571039230
置换优选 万科金色城市精装129平三房两卫 楼层视野佳 通透,3室2厅,129m²,高层(共34层),2015年建造,17442元/m²,225万,采光好房型正视野好,万科金色城市17地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1801063047?from=filter&spread=commsearch_p&uniqid=pc5da427fe8165f1.30548775&position=25&kwtype=filter&now_time=1571039230
光谷碧桂园生态城 精装三房全朝南 中间楼层采光视野好,3室2厅,97m²,中层(共30层),2016年建造,14433元/m²,140万,,碧桂园生态城观澜苑  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1870664079?from=filter&spread=commsearch_p&uniqid=pc5da427fe816644.94981072&position=26&kwtype=filter&now_time=1571039230
省人民医院旁紫阳金利屋 精装南北通透三房,3室1厅,93m²,中层(共28层),2000年建造,28273元/m²,265万,近地铁近学校采光好,紫阳金利屋  武昌-首义路-紫阳路139号,https://wuhan.anjuke.com/prop/view/A1867153143?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da427fe816694.75068300&position=27&kwtype=filter&now_time=1571039230
华发未来荟 精装三房两厅两卫，出门12号线地铁口 看房方便,3室2厅,98m²,中层(共33层),2017年建造,17857元/m²,175万,南北通透,华发未来荟  汉阳-四新-江城大道,https://wuhan.anjuke.com/prop/view/A1867907577?from=filter&spread=commsearch_p&uniqid=pc5da427fe8166f9.84538085&position=28&kwtype=filter&now_time=1571039230
保真新城璟悦城 对口英才（学位未用）地铁口简装3房 拎包入住,3室2厅,88m²,中层(共32层),2019年建造,15909元/m²,140万,南北通透环境优美,新城璟悦城  汉阳-四新-四新中路,https://wuhan.anjuke.com/prop/view/A1862823225?from=filter&spread=commsearch_p&uniqid=pc5da427fe816758.40378812&position=29&kwtype=filter&now_time=1571039230
"武汉绿地城,地铁口,一手新房,精装三房,有团购优惠",3室2厅,95m²,低层(共34层),2018年建造,9158元/m²,87万,新房房源近地铁配套成熟,武汉绿地城  汉南-汉南城区-马影河大道,https://wuhan.anjuke.com/prop/view/A1854511077?from=filter&spread=commsearch_p&uniqid=pc5da427fe8167a7.47422899&position=30&kwtype=filter&now_time=1571039230
泛海国际 松海园 毛坯次新三房 有学位对口红领巾 楼下盒马！,3室2厅,97m²,中层(共32层),2016年建造,30206元/m²,293万,近地铁交通便利品质小区,泛海国际居住区松海园  江汉-王家墩CBD-淮海路,https://wuhan.anjuke.com/prop/view/A1850950587?from=filter&spread=commsearch_p&uniqid=pc5da427fe8167f2.55557354&position=31&kwtype=filter&now_time=1571039230
武昌南湖 一线湖景 2号线 名校环绕 赠空调地暖 随时看房,3室2厅,136m²,中层(共34层),2013年建造,20625元/m²,280.5万,新房房源近地铁配套成熟,"保利大都会  洪山-卓刀泉-卓刀泉南路,近雄楚大道",https://wuhan.anjuke.com/prop/view/A1856354529?from=filter&spread=commsearch_p&uniqid=pc5da427fe816852.47449462&position=32&kwtype=filter&now_time=1571039230
鸿发世纪城 精装修 证满无税 大三房两卫,3室2厅,119m²,中层(共32层),2014年建造,12605元/m²,150万,,鸿发世纪城  江夏-纸坊-熊廷弼路,https://wuhan.anjuke.com/prop/view/A1869758139?from=filter&spread=commsearch_p&uniqid=pc5da427fe8168a0.83194908&position=33&kwtype=filter&now_time=1571039230
业主诚心出售，清江山水精装21户型，朝南户型，,3室2厅,78m²,中层(共32层),2014年建造,19231元/m²,150万,近学校全南户型配套成熟,清江山水  洪山-光谷软件园-软件园中路10号,https://wuhan.anjuke.com/prop/view/A1865491239?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da427fe816902.13304462&position=34&kwtype=filter&now_time=1571039230
保利九里 毛坯三房 中间楼层采光无敌 价格美丽 小区中间,3室2厅,94m²,中层(共33层),2014年建造,17872元/m²,168万,近地铁配套成熟环境优美,保利公园九里(1-4期)  洪山-新南湖-南湖路,https://wuhan.anjuke.com/prop/view/A1860689019?from=filter&spread=commsearch_p&uniqid=pc5da427fe816956.98734580&position=35&kwtype=filter&now_time=1571039230
中国铁建国际城 地铁沿线摩尔城旁 王家湾人信汇两大商圈 急卖,3室2厅,96m²,中层(共32层),2014年建造,17500元/m²,168万,近地铁安全性高品质小区,中国铁建国际城  汉阳-王家湾-龙阳湖北路,https://wuhan.anjuke.com/prop/view/A1853066955?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe8169a9.31571071&position=36&kwtype=filter&now_time=1571039230
正地铁口！精装小三居！户型优利用！一线景湖！品质小区 ！,3室2厅,95m²,中层(共36层),2017年建造,14211元/m²,135万,新房房源近地铁环境优美,"金地悦海湾  东西湖-吴家山-三店中路,近三店东路",https://wuhan.anjuke.com/prop/view/A1870837509?from=filter&spread=commsearch_p&uniqid=pc5da427fe816a06.37315592&position=37&kwtype=filter&now_time=1571039230
本周推荐 满二无贷 万科金色城市双阳台大两房 小区中间带学位,2室2厅,87m²,低层(共34层),2014年建造,15517元/m²,135万,南北通透厅带阳台配套成熟,万科金色城市18地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1824529143?from=filter&spread=commsearch_p&uniqid=pc5da427fe816a52.42436220&position=38&kwtype=filter&now_time=1571039230
四新观澜国际 必卖！！两房朝南厅带阳台总价低,2室2厅,77m²,低层(共33层),2010年建造,16883元/m²,130万,客厅朝南交通便利素质住户,观澜国际  汉阳-四新-四新北路,https://wuhan.anjuke.com/prop/view/A1823100789?from=filter&spread=commsearch_p&uniqid=pc5da427fe816aa4.84122320&position=39&kwtype=filter&now_time=1571039230
新上好房!张家湾小区 对口一小 有暖气 可改三房！！！,2室2厅,101m²,中层(共6层),1996年建造,34592元/m²,350万,近地铁近学校配套成熟,张家湾小区  武昌-水果湖-东三路20号,https://wuhan.anjuke.com/prop/view/A1870533813?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da427fe816b05.24758337&position=40&kwtype=filter&now_time=1571039230
满两年省10万税费，赠100平露台！钥匙在手请跟我走,2室2厅,85m²,低层(共33层),2015年建造,15873元/m²,135万,近地铁配套成熟繁华地段,绿地中央广场B区  汉阳-四新-梅林西路,https://wuhan.anjuke.com/prop/view/A1870151187?from=filter&spread=commsearch_p&uniqid=pc5da427fe816b59.28879133&position=41&kwtype=filter&now_time=1571039230
地铁口 阳光100精装两房 家具家电齐全 拎包入住 可随时看,2室2厅,85m²,低层(共27层),2012年建造,14061元/m²,120万,采光好房型正近地铁,阳光100大湖第  江夏-藏龙岛-杨桥湖大道2号,https://wuhan.anjuke.com/prop/view/A1867772073?from=filter&spread=commsearch_p&uniqid=pc5da427fe816bb3.73156207&position=42&kwtype=filter&now_time=1571039230
万科物业推荐 低于市场价十万 金色城市精装两房 拎包入住,2室2厅,82m²,低层(共34层),2014年建造,15205元/m²,125万,南北通透卫浴全明配套成熟,万科金色城市K3地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1768819359?from=filter&spread=commsearch_p&uniqid=pc5da427fe816c03.94952471&position=43&kwtype=filter&now_time=1571039230
真实好房 光谷软件园 云顶居 山水华庭民族大道南湖大道交叉口,3室2厅,142m²,低层(共15层),2003年建造,16197元/m²,230万,美式风交通便利繁华地段,云顶居  洪山-光谷软件园-民族大道303号,https://wuhan.anjuke.com/prop/view/A1869809979?from=filter&spread=commsearch_p&uniqid=pc5da427fe816c50.91626368&position=44&kwtype=filter&now_time=1571039230
广电兰亭荣荟精装单价15800，一手新房，无任何费用，,3室2厅,96m²,中层(共31层),2019年建造,15221元/m²,147万,近地铁,广电兰亭荣荟  硚口-古田-古田四路,https://wuhan.anjuke.com/prop/view/A1870498641?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816ca1.22952148&position=45&kwtype=filter&now_time=1571039230
我家好房武汉大学珞桂小区 南北通透大三房 证满五年 随时看房,3室2厅,114m²,高层(共7层),1999年建造,15789元/m²,180万,近地铁近学校,武汉大学珞桂小区  洪山-卓刀泉-雄楚大道438号,https://wuhan.anjuke.com/prop/view/A1861271877?from=filter-saleMetro-salesxq&spread=commsearch_p&uniqid=pc5da427fe816d05.90283063&position=46&kwtype=filter&now_time=1571039230
万科物业推荐 满二无贷好房急售 金色城市客厅带阳台两房 随时,2室2厅,79m²,高层(共34层),2014年建造,16076元/m²,127万,近地铁配套成熟品质小区,万科金色城市18地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1770054015?from=filter&spread=commsearch_p&uniqid=pc5da427fe816d64.87893814&position=47&kwtype=filter&now_time=1571039230
武胜路地铁凯德 荣西菜场楼上 对口井冈山小学 朝南精装小两房,2室1厅,51m²,低层(共8层),1990年建造,16078元/m²,82万,近地铁配套成熟繁华地段,荣西社区  硚口-武胜路-武胜西街63号,https://wuhan.anjuke.com/prop/view/A1822190187?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da427fe816db9.99474353&position=48&kwtype=filter&now_time=1571039230
急 急 急  湖墅观止，精装修3房老证 做毛坯出售  可看湖,3室2厅,91m²,中层(共26层),2009年建造,10498元/m²,96万,配套成熟环境优美交通便利,湖墅观止  蔡甸-天鹅湖大道-天鹅湖大道6-9号,https://wuhan.anjuke.com/prop/view/A1868264589?from=filter&spread=commsearch_p&uniqid=pc5da427fe816e03.02720725&position=49&kwtype=filter&now_time=1571039230
无税！满五唯一 万科金色城市刚需3房 花园小区 带学位,3室2厅,104m²,中层(共34层),2014年建造,16154元/m²,168万,房型正拎包入住品质小区,万科金色城市17地块  洪山-白沙洲-江州路,https://wuhan.anjuke.com/prop/view/A1777765395?from=filter&spread=commsearch_p&uniqid=pc5da427fe816e53.14994686&position=50&kwtype=filter&now_time=1571039230
国博新城 118平大三房 三地铁在旁 双向大阳台 南北通透,3室2厅,118m²,低层(共33层),2014年建造,16892元/m²,200万,南北通透环境优美,武汉国博新城  汉阳-四新-四新南路,https://wuhan.anjuke.com/prop/view/A1870899627?from=filter&spread=commsearch_p&uniqid=pc5da427fe816eb3.31661163&position=51&kwtype=filter&now_time=1571039230
梦湖香郡 毛坯复试 近地铁8号线 一线湖景房 近地铁8号线,3室2厅,115m²,中层(共28层),2016年建造,20435元/m²,235万,南北通透环境优美,梦湖香郡  江岸-后湖-梦湖路18号,https://wuhan.anjuke.com/prop/view/A1870875435?from=filter&spread=commsearch_p&uniqid=pc5da427fe816f09.70406687&position=52&kwtype=filter&now_time=1571039230
四新 金地澜菲溪岸 地铁口 对口英才小学与初中 单价1.5万,3室2厅,96m²,高层(共34层),2012年建造,15822元/m²,153万,南北通透环境优美,"金地澜菲溪岸J6地块  汉阳-四新-梅林西路,近芳草五街",https://wuhan.anjuke.com/prop/view/A1870869045?from=filter&spread=commsearch_p&uniqid=pc5da427fe816f56.41359073&position=53&kwtype=filter&now_time=1571039230
光谷东 精装3房 联投花山郡 业主外地发展急卖 随时看房急,3室2厅,93m²,中层(共30层),2016年建造,12688元/m²,118万,地暖送家电送车位,联投花山郡  洪山-光谷东-花城大道,https://wuhan.anjuke.com/prop/view/A1870812021?from=filter&spread=commsearch_p&uniqid=pc5da427fe816fa0.83465250&position=54&kwtype=filter&now_time=1571039230
185万 名流世家精装三房两卫 中间楼层随时看房,3室2厅,102m²,低层(共32层),2017年建造,17996元/m²,185万,,名流世家  江岸-百步亭-百步亭路,https://wuhan.anjuke.com/prop/view/A1870833225?from=filter&spread=commsearch_p&uniqid=pc5da427fe817001.17339715&position=55&kwtype=filter&now_time=1571039230
保利上城新出急售好房，全小区超高性价比，楼层好视野采光通风强,3室2厅,96m²,中层(共34层),2018年建造,15625元/m²,150万,南北通透近地铁品质小区,"保利上城  洪山-白沙洲-白沙洲大道,近江国路",https://wuhan.anjuke.com/prop/view/A1847734599?from=filter&spread=commsearch_p&uniqid=pc5da427fe817053.56024879&position=56&kwtype=filter&now_time=1571039230
珞珈雅苑 90平小三室 无税 可以拎包入住,3室1厅,89m²,中层(共32层),2014年建造,17969元/m²,160万,,珞珈雅苑  洪山-新南湖-书城路,https://wuhan.anjuke.com/prop/view/A1770940965?from=filter&spread=commsearch_p&uniqid=pc5da427fe8170a3.71915947&position=57&kwtype=filter&now_time=1571039230
四新 地铁口 新城璟悦城 精装三房带车位只要150万 懂的来,3室2厅,88m²,中层(共34层),2017年建造,16107元/m²,142万,采光好近地铁品质小区,新城璟悦城  汉阳-四新-四新中路,https://wuhan.anjuke.com/prop/view/A1840091601?from=filter&spread=commsearch_p&uniqid=pc5da427fe8170f2.50342613&position=58&kwtype=filter&now_time=1571039230
武大旁东湖楚天府高层通透精装100平3居急售，368万无税！,3室2厅,100m²,中层(共31层),2016年建造,36599元/m²,368万,近地铁配套成熟繁华地段,东湖楚天府(公寓)  洪山-广埠屯-八一路340号,https://wuhan.anjuke.com/prop/view/A1798325589?from=filter&spread=commsearch_p&uniqid=pc5da427fe817156.03239551&position=59&kwtype=filter&now_time=1571039230
盘龙城临空港新区，地铁直线距离500米，124平温馨精装三房,3室2厅,124m²,中层(共34层),2014年建造,10484元/m²,130万,南北通透环境优美,鼎鑫摩卡小镇  黄陂-盘龙城-露甲山路3号,https://wuhan.anjuke.com/prop/view/A1832374425?from=filter&spread=commsearch_p&uniqid=pc5da427fe8171a8.31589211&position=60&kwtype=filter&now_time=1571039230
武昌南湖 一线湖景 2号线 名校环绕 赠空调地暖 随时看房,3室2厅,136m²,中层(共34层),2013年建造,20625元/m²,280.5万,新房房源近地铁配套成熟,"保利大都会  洪山-卓刀泉-卓刀泉南路,近雄楚大道",https://wuhan.anjuke.com/prop/view/A1856354529?from=filter&spread=commsearch_p&uniqid=pc5da4282b324579.42529132&position=61&kwtype=filter&now_time=1571039275
鸿发世纪城 精装修 证满无税 大三房两卫,3室2厅,119m²,中层(共32层),2014年建造,12605元/m²,150万,,鸿发世纪城  江夏-纸坊-熊廷弼路,https://wuhan.anjuke.com/prop/view/A1869758139?from=filter&spread=commsearch_p&uniqid=pc5da4282b324830.58722085&position=62&kwtype=filter&now_time=1571039275
业主诚心出售，清江山水精装21户型，朝南户型，,3室2厅,78m²,中层(共32层),2014年建造,19231元/m²,150万,近学校全南户型配套成熟,清江山水  洪山-光谷软件园-软件园中路10号,https://wuhan.anjuke.com/prop/view/A1865491239?from=filter-salesxq&spread=commsearch_p&uniqid=pc5da4282b324900.47503204&position=63&kwtype=filter&now_time=1571039275
保利九里 毛坯三房 中间楼层采光无敌 价格美丽 小区中间,3室2厅,94m²,中层(共33层),2014年建造,17872元/m²,168万,近地铁配套成熟环境优美,保利公园九里(1-4期)  洪山-新南湖-南湖路,https://wuhan.anjuke.com/prop/view/A1860689019?from=filter&spread=commsearch_p&uniqid=pc5da4282b3249a8.99064722&position=64&kwtype=filter&now_time=1571039275
卧龙墨水湖边三期通透三房近墨水湖公园 对口华师附小 业主急售,3室2厅,115m²,中层(共33层),2017年建造,15130元/m²,174万,近地铁繁华地段品质小区,卧龙墨水湖边(三四期)  汉阳-建港-江城大道,https://wuhan.anjuke.com/prop/view/A1866868365?from=filter&spread=commsearch_p&uniqid=pc5da4282b324a49.88297936&position=65&kwtype=filter&now_time=1571039275
中国铁建国际城 地铁沿线摩尔城旁 王家湾人信汇两大商圈 急卖,3室2厅,96m²,中层(共32层),2014年建造,17500元/m²,168万,近地铁安全性高品质小区,中国铁建国际城  汉阳-王家湾-龙阳湖北路,https://wuhan.anjuke.com/prop/view/A1853066955?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b324ad3.67455917&position=66&kwtype=filter&now_time=1571039275
三环内 金地澜菲溪岸 设施配套齐全 中间楼层 小三室采光充足,3室2厅,92m²,中层(共34层),2012年建造,17391元/m²,160万,配套成熟环境优美交通便利,金地澜菲溪岸J8地块  汉阳-四新-梅林西路,https://wuhan.anjuke.com/prop/view/A1812316557?from=filter&spread=commsearch_p&uniqid=pc5da4282b324b60.54420692&position=67&kwtype=filter&now_time=1571039275
价格真实！万科金色城市精装三房 总价超低 高楼层 保养好,3室2厅,96m²,中层(共34层),2017年建造,15104元/m²,145万,近地铁配套成熟品质小区,万科金色城市20地块  洪山-白沙洲-武金堤路,https://wuhan.anjuke.com/prop/view/A1868539449?from=filter&spread=commsearch_p&uniqid=pc5da4282b324be5.81320879&position=68&kwtype=filter&now_time=1571039275
地铁口，大拇指广场，电梯精装三房，南北通透，家具家电全送,3室2厅,99m²,中层(共28层),2015年建造,11111元/m²,110万,拎包入住近地铁繁华地段,大拇指广场  蔡甸-蔡甸城区-汉阳大道,https://wuhan.anjuke.com/prop/view/A1838751681?from=filter&spread=commsearch_p&uniqid=pc5da4282b324c61.83545463&position=69&kwtype=filter&now_time=1571039275
16号线正地铁口，外地可买，经理特惠，精装修新房，一线湖景！,3室2厅,97m²,低层(共32层),2019年建造,7423元/m²,72万,新房房源近地铁配套成熟,武汉绿地城  汉南-汉南城区-马影河大道,https://wuhan.anjuke.com/prop/view/A1802714763?from=filter&spread=commsearch_p&uniqid=pc5da4282b324ce8.29320656&position=70&kwtype=filter&now_time=1571039275
急售王家湾 摩尔城旁 人信汇四期 双地铁 品质小区 通透三房,3室2厅,114m²,中层(共32层),2018年建造,16700元/m²,192万,南北通透,人信汇(四期)  汉阳-王家湾-龙阳湖东路,https://wuhan.anjuke.com/prop/view/A1870169097?from=filter&spread=commsearch_p&uniqid=pc5da4282b324d61.70272344&position=71&kwtype=filter&now_time=1571039275
军运会前在武汉安家！近地铁！满两年省7万后期费用！赠家电！,2室2厅,88m²,中层(共33层),2015年建造,15174元/m²,135万,近地铁全南户型南北通透,和昌都汇华府  汉阳-四新-江城大道368号,https://wuhan.anjuke.com/prop/view/A1870574133?from=filter-saleMetro&spread=commsearch_p&uniqid=pc5da4282b324df3.96509068&position=72&kwtype=filter&now_time=1571039275
（真实）天祥尚府精装大三房 家具家电 拎包即住 对口华师附小,3室2厅,112m²,中层(共32层),2015年建造,18248元/m²,206万,,天祥尚府  江夏-庙山-庙山中路,https://wuhan.anjuke.com/prop/view/A1859652489?from=filter&spread=commsearch_p&uniqid=pc5da4282b324e84.21293626&position=73&kwtype=filter&now_time=1571039275
（真实） 双地铁口 人民医院旁 大3房（直降10万）世茂云锦,3室2厅,103m²,中层(共32层),2016年建造,15146元/m²,156万,南北通透厅带阳台近地铁,世茂云锦  洪山-白沙洲-白沙洲三路15号,https://wuhan.anjuke.com/prop/view/A1858724139?from=filter&spread=commsearch_p&uniqid=pc5da4282b324f06.76233864&position=74&kwtype=filter&now_time=1571039275
东西湖 洺悦御府毛坯三房 面积楼层任选无茶水费,3室2厅,97m²,中层(共33层),2016年建造,11546元/m²,112万,新房房源,"洺悦御府  东西湖-吴家山-三店大道,近黄狮海东路",https://wuhan.anjuke.com/prop/view/A1861231161?from=filter&spread=commsearch_p&uniqid=pc5da4282b324f83.97507621&position=75&kwtype=filter&now_time=1571039275
